ttl,rttMean,rttPrev,latitud,longitud
1,192.168.0.1,62.728229321931536,0.0,noLocAv,noLocAvc
2,10.32.32.1,59.33189392089844,-3.396335401033099,noLocAv,noLocAvc
3,100.72.4.2,79.50973510742188,20.177841186523438,noLocAv,noLocAvc
4,192.168.64.122,71.29430770874023,-8.21542739868164,noLocAv,noLocAvc
5,100.72.9.185,79.43201065063477,8.137702941894531,noLocAv,noLocAvc
6,10.242.12.18,59.27705764770508,-20.154953002929688,noLocAv,noLocAvc
7,185.70.203.41,55.34648895263672,-3.9305686950683594,-34.6131,-58.3772
8,0,0,0,0,0
9,89.221.35.145,179.0180206298828,123.6715316772461,37.3394,-121.8950
10,198.32.176.177,191.31946563720703,12.301445007324219,37.4419,-122.1430
11,202.158.194.176,371.24180793762207,179.92234230041504,-33.8678,151.2073
12,113.197.15.146,359.4081401824951,-11.833667755126953,-33.8678,151.2073
13,113.197.15.12,343.311071395874,-16.097068786621094,-33.8678,151.2073
14,113.197.15.11,355.3271293640137,12.016057968139648,-35.2835,149.1281
