ttl,rttMean,rttPrev,latitud,longitud
1,192.168.0.1,52.06553559554251,0.0,noLocAv,noLocAvc
2,10.32.32.1,58.80492074148996,6.739385145947452,noLocAv,noLocAvc
3,100.72.4.2,55.571556091308594,-3.2333646501813647,noLocAv,noLocAvc
4,192.168.64.122,58.559934298197426,2.9883782068888323,noLocAv,noLocAvc
5,100.72.9.185,67.24750995635986,8.687575658162437,noLocAv,noLocAvc
6,10.242.12.18,55.10854721069336,-12.138962745666504,noLocAv,noLocAvc
7,200.115.194.149,65.6714916229248,10.562944412231445,-34.5742,-58.5350
8,200.115.194.148,61.22887134552002,-4.442620277404785,-34.5742,-58.5350
