ttl,rttMean,rttPrev,latitud,longitud
172.17.80.1,114.7565762201945,0.0,noLocAv,noLocAvc
10.90.0.1,123.04089069366455,8.284314473470047,noLocAv,noLocAvc
10.171.0.145,126.06595357259114,3.0250628789265903,noLocAv,noLocAvc
3.3.3.1,130.81839680671692,4.752443234125778,47.6339,-122.3476
200.0.17.225,137.8890593846639,7.07066257794699,-34.6131,-58.3772
151.101.66.216,148.906143506368,11.017084121704102,37.7621,-122.3971
151.101.66.216,205.5519183476766,56.645774841308594,37.7621,-122.3971
151.101.66.216,215.88714122772217,10.335222880045563,37.7621,-122.3971
