ttl,rttMean,rttPrev,latitud,longitud
172.17.80.1,110.69647471110027,0.0,noLocAv,noLocAvc
192.168.0.1,120.30631966061063,9.60984494951036,noLocAv,noLocAvc
10.90.0.1,120.400071144104,0.09375148349337792,noLocAv,noLocAvc
10.171.0.145,130.2591641743978,9.859093030293792,noLocAv,noLocAvc
10.200.0.62,133.1540028254191,2.8948386510213027,noLocAv,noLocAvc
200.189.207.2,142.3881451288859,9.234142303466797,-33.4569,-70.6483
64.76.143.170,145.18081347147623,2.792668342590332,-33.4569,-70.6483
