ttl,rttMean,rttPrev,latitud,longitud
172.17.80.1,110.66304047902425,0.0,noLocAv,noLocAvc
192.168.0.1,114.0809456507365,3.417905171712249,noLocAv,noLocAvc
10.90.0.1,122.77541955312093,8.69447390238443,noLocAv,noLocAvc
10.171.0.145,126.58468882242839,3.809269269307464,noLocAv,noLocAvc
10.200.0.62,130.2016576131185,3.616968790690109,noLocAv,noLocAvc
8.243.137.197,135.68120002746582,5.479542414347321,-34.6131,-58.3772
4.69.167.222,314.24294199262346,178.56174196515764,51.5085,-0.1257
217.163.113.74,543.2221730550131,228.9792310623896,51.5085,-0.1257
